record_id,source_split,transaction_type,merchant,amount,currency,transaction_date,bank,baseline_category_seed,target_category,notes,sms_text
sms_seed_v1-train-0001,train,debit,Zomato,47231.71,INR,24-04-2024,ICICI,Food,Food,Suggested from food-related merchant or message text.,Rs. 47231.71 debited from A/c **6325 on 24-04-2024 at Zomato. Avl Bal: Rs. 86483.27.
sms_seed_v1-train-0002,train,debit,Swiggy,25366.15,USD,2023-09-09,HDFC,Food,Food,Suggested from food-related merchant or message text.,$25366.15 withdrawn at Swiggy on 2023-09-09. Card ending in 1934. Balance: $58954.59.
sms_seed_v1-train-0003,train,debit,Ola,21179.15,USD,2024-02-10,Bank of America,Transport,Transport,Suggested from transport-related merchant or message text.,$21179.15 withdrawn at Ola on 2024-02-10. Card ending in 4426. Balance: $10447.54.
sms_seed_v1-train-0005,train,debit,AJIO,48279.38,USD,2023-10-02,ICICI,Utilities,Other,Defaulted to Other because the label was not certain.,$48279.38 spent at AJIO on 2023-10-02. Card ending in 2733. Balance: $23087.94.
sms_seed_v1-train-0006,train,debit,Target,45398.87,EUR,07-06-2024,Axis,Other,Other,Defaulted to Other because the label was not certain.,€45398.87 spent at Target on 07-06-2024. Card: ****1701. Balance: €77274.28.
sms_seed_v1-train-0007,train,debit,Best Buy,39688.71,USD,22/06/2024,SBI,Health,Other,Defaulted to Other because the label was not certain.,You made a $39688.71 transaction at Best Buy on 22/06/2024. Available: $55686.88.
sms_seed_v1-train-0008,train,debit,Whole Foods,40287.5,INR,2023-10-19,ICICI,Food,Other,Defaulted to Other because the label was not certain.,Your A/c **8752 spent Rs. 40287.5 on 2023-10-19 at Whole Foods. Balance: Rs. 43078.28.
sms_seed_v1-train-0009,train,debit,Grofers,21622.94,USD,2023-08-22,HDFC,Other,Groceries,Suggested from grocery-related merchant or message text.,debited: $21622.94 at Grofers on 2023-08-22 with card ...9829.
sms_seed_v1-train-0010,train,debit,Ola,12971.16,INR,03-11-2024,Bank of America,Transport,Transport,Suggested from transport-related merchant or message text.,Your A/c **2455 debited Rs. 12971.16 on 03-11-2024 at Ola. Balance: Rs. 49189.4.
sms_seed_v1-train-0012,train,debit,Ola,1050.27,JPY,18-03-2024,Axis,Transport,Transport,Suggested from transport-related merchant or message text.,ご利用¥1050.27 at Ola on 18-03-2024. Available: ¥58153.55.
sms_seed_v1-train-0014,train,debit,MakeMyTrip,8303.78,INR,20-02-2023,Chase,Other,Transport,Suggested from travel-ticket merchant or message text; collapsed to Transport because Travel is not in the shipped taxonomy.,INR 8303.78 debited via Debit Card to MakeMyTrip on 20-02-2023. Ref: 889950880813.
sms_seed_v1-train-0015,train,debit,Chevron,181.52,INR,14-03-2023,Kotak,Other,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,Rs. 181.52 spent from A/c **1003 on 14-03-2023 at Chevron. Avl Bal: Rs. 62978.79.
sms_seed_v1-train-0017,train,debit,Domino's,35328.61,INR,17/03/2024,Revolut,Other,Food,Suggested from food-related merchant or message text.,withdrawn of Rs. 35328.61 made at Domino's on 17/03/2024. Card ending 8395. Avl Bal: Rs. 61718.4.
sms_seed_v1-train-0018,train,debit,Shell,7012.87,USD,2023-05-16,Axis,Health,Transport,Suggested from fuel-related merchant or message text; collapsed to Transport because Fuel is not in the shipped taxonomy.,You made a $7012.87 transaction at Shell on 2023-05-16. Available: $84260.15.
sms_seed_v1-train-0019,train,debit,Netflix,36755.21,USD,03/04/2023,SBI,Entertainment,Entertainment,Suggested from entertainment-related merchant or message text.,You made a $36755.21 transaction at Netflix on 03/04/2023. Available: $18532.05.
sms_seed_v1-train-0020,train,debit,Target,7493.54,EUR,19/12/2023,Kotak,Other,Other,Defaulted to Other because the label was not certain.,€7493.54 spent at Target on 19/12/2023. Card: ****9122. Balance: €74938.39.
sms_seed_v1-train-0021,train,debit,Costco,13310.96,USD,11/12/2023,HDFC,Health,Other,Defaulted to Other because the label was not certain.,You made a $13310.96 transaction at Costco on 11/12/2023. Available: $50093.02.
sms_seed_v1-train-0022,train,debit,Amazon,6611.42,INR,2023-02-17,HDFC,Other,Other,Defaulted to Other because the label was not certain.,INR 6611.42 withdrawn via Credit Card to Amazon on 2023-02-17. Ref: 119997470118.
sms_seed_v1-train-0024,train,debit,AJIO,45473.79,INR,19-01-2023,Kotak,Utilities,Other,Defaulted to Other because the label was not certain.,Rs. 45473.79 debited from A/c **7870 on 19-01-2023 at AJIO. Avl Bal: Rs. 56002.5.
sms_seed_v1-train-0025,train,debit,Uber,23205.86,INR,2024-06-14,HDFC,Transport,Transport,Suggested from transport-related merchant or message text.,INR 23205.86 debited via Net Banking to Uber on 2024-06-14. Ref: 419467311184.
sms_seed_v1-train-0026,train,debit,PhonePe,28968.62,INR,2024-06-14,Kotak,Other,Other,Defaulted to Other because the label was not certain.,withdrawn of Rs. 28968.62 made at PhonePe on 2024-06-14. Card ending 5244. Avl Bal: Rs. 98418.08.
